ensembl_gene_id,Comp 1,Comp 2,VIP_SCORE,combo_Y_proliferation.1 comps,combo_Y_proliferation.2 comps
ENSG00000106991,1.4766046895166223,1.4382546963821075,1.4042496029790954,7.946427694682567e-4,0.0010599148602413462
ENSG00000178719,1.475433590159455,1.4350071006399936,1.4029939649010505,-7.940125360394259e-4,-0.0010438723403651323
ENSG00000089289,1.47027125474287,1.4226269635826443,1.397589359073008,-7.91234397420821e-4,-9.733196308560224e-4
ENSG00000170412,1.4697784556734628,1.4219383422821252,1.3971066547142235,-7.909691949464652e-4,-9.705211318678731e-4
ENSG00000187678,1.4692656059520046,1.4267968353759246,1.3969798570743623,7.906932021056773e-4,0.0010221387892078405
ENSG00000134757,1.4688814859190735,1.4216892255129974,1.3962957081708913,-7.904864858403534e-4,-9.770158334736284e-4
ENSG00000189221,1.4631390004210327,1.4303333346788334,1.391793659518757,-7.873961363296199e-4,-0.0010836767538416085
ENSG00000250722,1.4633408894117421,1.4186216934559523,1.3911835013367446,-7.875047839777287e-4,-9.967353042304194e-4
ENSG00000163082,1.4626835580701874,1.4138873834031156,1.3902826004218123,-7.871510375746326e-4,-9.509054913702911e-4
ENSG00000105856,1.461961770844558,1.4136099358690208,1.389624849905168,-7.867626038902396e-4,-9.559543090489299e-4
ENSG00000283847,1.461961770844558,1.4136099358690208,1.389624849905168,-7.867626038902396e-4,-9.559543090489299e-4
ENSG00000168916,1.4609936263800023,1.4202446675260385,1.3892145892556582,-7.862415917303692e-4,-0.00102819248647776
ENSG00000241749,1.4608290321255868,1.4126170461074434,1.3885550551629564,7.861530144455373e-4,9.565165107984044e-4
ENSG00000133639,1.4591131244304507,1.4142080448779741,1.3871429832975708,-7.852295894742532e-4,-9.908621010326323e-4
ENSG00000174080,1.4571577928306707,1.4101201164323771,1.385136390144892,-7.84177317238692e-4,-9.667200370690186e-4
ENSG00000171298,1.453798053741756,1.420848683642922,1.3828844065414065,-7.823692555460396e-4,-0.001074633363707398
ENSG00000103187,1.4523587234413966,1.4091950831469389,1.3808250430450804,7.815946721899272e-4,0.0010003218243102234
ENSG00000272196,1.4507829205573486,1.4162433735348687,1.379904626984687,-7.807466453776014e-4,-0.0010621602705101086
ENSG00000108840,1.4497345017822187,1.4161088564476123,1.3789673089280317,-7.801824331649851e-4,-0.0010669393440729405
ENSG00000175938,1.4491293215319159,1.4009818260398894,1.377412517633425,-7.798567521526312e-4,-9.447089385295701e-4
