ensembl_gene_id,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,VIP_SCORE,combo_Y_cytoplasm.1 comps,combo_Y_cytoplasm.2 comps,combo_Y_cytoplasm.3 comps,combo_Y_cytoplasm.4 comps,combo_Y_cytoplasm.5 comps
ENSG00000108854,1.752780088340368,1.6492718100283361,1.6205479063179862,1.6043396232337712,1.5990515597300883,1.714313991683619,8.848639563852749e-4,0.0018305286372800984,0.002213163817102716,0.0024205173324594537,0.0025620993486361286
ENSG00000167508,1.7329949821828257,1.6565401556799166,1.6409693064451345,1.6255042514047464,1.6199626243024006,1.7034239357389294,8.748757511172412e-4,0.001875473138432479,0.0025580102878113354,0.0029881201964840273,0.0031280254666196166
ENSG00000154764,1.6924891891810008,1.7069163414531048,1.676503639984642,1.659785425196173,1.656336930785452,1.6888730662500255,8.544270271212634e-4,0.0020272478652455283,0.0024289480245087702,0.002658187989368297,0.002984806290287461
ENSG00000160752,1.7165453530737307,1.6215766179564537,1.600346615122301,1.5867035726092074,1.5815964574872035,1.6812604382455,8.665714099215774e-4,0.001809410555474564,0.0023661315211808225,0.002768185453681766,0.0028168121567305497
ENSG00000183287,1.7257859011280825,1.5936558413566262,1.5774320379531224,1.561676883824085,1.5563668947661018,1.6797788844384027,8.71236357889057e-4,0.001717687160060784,0.002335494622750042,0.002673642365748081,0.0027693989115732407
ENSG00000069122,1.6469181700827105,1.723818041908456,1.7851421063840676,1.7686808090157622,1.763666152011593,1.6677094866086646,8.314212019615291e-4,0.002092888753690735,0.0035828905920824864,0.004458366022999735,0.004933235363738427
ENSG00000084710,1.6970028733730764,1.5988721663309322,1.5937405316467472,1.5780264254189804,1.5728209799626471,1.6618198353944302,8.567056908730039e-4,0.0017777624849646297,0.0025674857615258133,0.0030187438649008583,0.003105916326515312
ENSG00000167656,1.6965743392465025,1.6018578087117652,1.5741440708403827,1.5596036942590614,1.5543546849291552,1.6609901033167238,-8.564893520377966e-4,-0.0017861516333085305,-0.0021660257113719624,-0.0024431668346689426,-0.0024958166388409763
ENSG00000117519,1.6855988607278747,1.6232326753816513,1.5923970377735839,1.5768388695215505,1.5724283332637636,1.6593657031929157,8.509485512209581e-4,0.0018529305587829687,0.002115503838129991,0.002211809796091784,0.0024045885940956915
ENSG00000132669,1.683144866382246,1.6178964694470404,1.586550828159098,1.5707161517441621,1.567080960092893,1.656035454513401,-8.497096900768448e-4,-0.0018431967225689676,-0.001984099489919186,-0.0020722708173019147,-0.0018900898421364287
ENSG00000110047,1.692739392137136,1.5840161763437097,1.554281202185057,1.5391182974909607,1.534103952982533,1.6528949851129253,8.545533382193515e-4,0.0017443046527941199,0.001764264364536283,0.0017319668332502556,0.0016431174186374291
ENSG00000106537,1.6969829946281705,1.5486399591306772,1.5209213796467829,1.5059322656457799,1.5022594940302847,1.6455883515159488,8.5669565539566e-4,0.0016313413753883416,0.0019440526250236352,0.0021419518428180693,0.0024019574623424106
ENSG00000168209,1.683536802675516,1.5659359608096217,1.5620277350659775,1.5469613171058467,1.5481826736101445,1.642796772638475,-8.499075530611524e-4,-0.0017084853454469979,-0.0024887412828453635,-0.0029532055407766903,-0.0035232050422455523
ENSG00000130707,1.692637807301811,1.5453024331601597,1.5163712836090715,1.5012311953830717,1.496114062894704,1.6414631052143045,-8.545020546841879e-4,-0.001629229199610146,-0.0016288758821586856,-0.0016167381076581074,-0.001621406293096076
